surah,muqattaat_letters,letter,calculation_type,calculation_description,value,comparison_context
2,ا ل م,ا,count_current,Letter count in current surah,3545,Current surah with Muqatta'at
2,ا ل م,ا,count_previous,Letter count in previous surah,20,Previous surah (surah 1)
2,ا ل م,ا,count_all_previous,Letter count in all previous surahs,20,All surahs before current (surahs 1-1)
2,ا ل م,ا,count_next,Letter count in next surah,2006,Next surah (surah 3)
2,ا ل م,ا,count_all_after,Letter count in all subsequent surahs,39984,All surahs after current (surahs 3-114)
2,ا ل م,ا,ratio_current,Letter ratio in current surah (count/total),0.1326572615350073,Current surah with Muqatta'at
2,ا ل م,ا,ratio_previous,Letter ratio in previous surah (count/total),0.16129032258064516,Previous surah (surah 1)
2,ا ل م,ا,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.16129032258064516,All surahs before current (surahs 1-1)
2,ا ل م,ا,ratio_next,Letter ratio in next surah (count/total),0.13202579965775965,Next surah (surah 3)
2,ا ل م,ا,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.12969185857930587,All surahs after current (surahs 3-114)
2,ا ل م,ا,diff_vs_previous,Difference between current and previous surah ratios,-0.02863306104563787,Current vs Previous surah ratio difference
2,ا ل م,ا,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.02863306104563787,Current vs All Previous surahs ratio difference
2,ا ل م,ا,diff_vs_next,Difference between current and next surah ratios,0.0006314618772476355,Current vs Next surah ratio difference
2,ا ل م,ا,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.0029654029557014128,Current vs All Subsequent surahs ratio difference
2,ا ل م,ل,count_current,Letter count in current surah,3202,Current surah with Muqatta'at
2,ا ل م,ل,count_previous,Letter count in previous surah,18,Previous surah (surah 1)
2,ا ل م,ل,count_all_previous,Letter count in all previous surahs,18,All surahs before current (surahs 1-1)
2,ا ل م,ل,count_next,Letter count in next surah,1893,Next surah (surah 3)
2,ا ل م,ل,count_all_after,Letter count in all subsequent surahs,34980,All surahs after current (surahs 3-114)
2,ا ل م,ل,ratio_current,Letter ratio in current surah (count/total),0.1198218762863451,Current surah with Muqatta'at
2,ا ل م,ل,ratio_previous,Letter ratio in previous surah (count/total),0.14516129032258066,Previous surah (surah 1)
2,ا ل م,ل,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.14516129032258066,All surahs before current (surahs 1-1)
2,ا ل م,ل,ratio_next,Letter ratio in next surah (count/total),0.12458865341582204,Next surah (surah 3)
2,ا ل م,ل,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.11346091469348038,All surahs after current (surahs 3-114)
2,ا ل م,ل,diff_vs_previous,Difference between current and previous surah ratios,-0.02533941403623556,Current vs Previous surah ratio difference
2,ا ل م,ل,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.02533941403623556,Current vs All Previous surahs ratio difference
2,ا ل م,ل,diff_vs_next,Difference between current and next surah ratios,-0.004766777129476943,Current vs Next surah ratio difference
2,ا ل م,ل,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.006360961592864714,Current vs All Subsequent surahs ratio difference
2,ا ل م,م,count_current,Letter count in current surah,2193,Current surah with Muqatta'at
2,ا ل م,م,count_previous,Letter count in previous surah,12,Previous surah (surah 1)
2,ا ل م,م,count_all_previous,Letter count in all previous surahs,12,All surahs before current (surahs 1-1)
2,ا ل م,م,count_next,Letter count in next surah,1247,Next surah (surah 3)
2,ا ل م,م,count_all_after,Letter count in all subsequent surahs,24544,All surahs after current (surahs 3-114)
2,ا ل م,م,ratio_current,Letter ratio in current surah (count/total),0.08206413950529506,Current surah with Muqatta'at
2,ا ل م,م,ratio_previous,Letter ratio in previous surah (count/total),0.0967741935483871,Previous surah (surah 1)
2,ا ل م,م,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.0967741935483871,All surahs before current (surahs 1-1)
2,ا ل م,م,ratio_next,Letter ratio in next surah (count/total),0.08207187047518757,Next surah (surah 3)
2,ا ل م,م,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.07961076873175478,All surahs after current (surahs 3-114)
2,ا ل م,م,diff_vs_previous,Difference between current and previous surah ratios,-0.01471005404309203,Current vs Previous surah ratio difference
2,ا ل م,م,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.01471005404309203,Current vs All Previous surahs ratio difference
2,ا ل م,م,diff_vs_next,Difference between current and next surah ratios,-7.730969892510986e-06,Current vs Next surah ratio difference
2,ا ل م,م,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.0024533707735402838,Current vs All Subsequent surahs ratio difference
3,ا ل م,ا,count_current,Letter count in current surah,2006,Current surah with Muqatta'at
