surah,muqattaat_letters,current_total_letters,previous_total_letters,all_previous_total_letters,next_total_letters,all_after_total_letters,current_count_ا,previous_count_ا,all_previous_count_ا,next_count_ا,all_after_count_ا,current_ratio_ا,previous_ratio_ا,all_previous_ratio_ا,next_ratio_ا,all_after_ratio_ا,vs_previous_diff_ا,vs_all_previous_diff_ا,vs_next_diff_ا,vs_all_after_diff_ا,current_count_ح,previous_count_ح,all_previous_count_ح,next_count_ح,all_after_count_ح,current_ratio_ح,previous_ratio_ح,all_previous_ratio_ح,next_ratio_ح,all_after_ratio_ح,vs_previous_diff_ح,vs_all_previous_diff_ح,vs_next_diff_ح,vs_all_after_diff_ح,current_count_ر,previous_count_ر,all_previous_count_ر,next_count_ر,all_after_count_ر,current_ratio_ر,previous_ratio_ر,all_previous_ratio_ر,next_ratio_ر,all_after_ratio_ر,vs_previous_diff_ر,vs_all_previous_diff_ر,vs_next_diff_ر,vs_all_after_diff_ر,current_count_س,previous_count_س,all_previous_count_س,next_count_س,all_after_count_س,current_ratio_س,previous_ratio_س,all_previous_ratio_س,next_ratio_س,all_after_ratio_س,vs_previous_diff_س,vs_all_previous_diff_س,vs_next_diff_س,vs_all_after_diff_س,current_count_ص,previous_count_ص,all_previous_count_ص,next_count_ص,all_after_count_ص,current_ratio_ص,previous_ratio_ص,all_previous_ratio_ص,next_ratio_ص,all_after_ratio_ص,vs_previous_diff_ص,vs_all_previous_diff_ص,vs_next_diff_ص,vs_all_after_diff_ص,current_count_ط,previous_count_ط,all_previous_count_ط,next_count_ط,all_after_count_ط,current_ratio_ط,previous_ratio_ط,all_previous_ratio_ط,next_ratio_ط,all_after_ratio_ط,vs_previous_diff_ط,vs_all_previous_diff_ط,vs_next_diff_ط,vs_all_after_diff_ط,current_count_ع,previous_count_ع,all_previous_count_ع,next_count_ع,all_after_count_ع,current_ratio_ع,previous_ratio_ع,all_previous_ratio_ع,next_ratio_ع,all_after_ratio_ع,vs_previous_diff_ع,vs_all_previous_diff_ع,vs_next_diff_ع,vs_all_after_diff_ع,current_count_ق,previous_count_ق,all_previous_count_ق,next_count_ق,all_after_count_ق,current_ratio_ق,previous_ratio_ق,all_previous_ratio_ق,next_ratio_ق,all_after_ratio_ق,vs_previous_diff_ق,vs_all_previous_diff_ق,vs_next_diff_ق,vs_all_after_diff_ق,current_count_ك,previous_count_ك,all_previous_count_ك,next_count_ك,all_after_count_ك,current_ratio_ك,previous_ratio_ك,all_previous_ratio_ك,next_ratio_ك,all_after_ratio_ك,vs_previous_diff_ك,vs_all_previous_diff_ك,vs_next_diff_ك,vs_all_after_diff_ك,current_count_ل,previous_count_ل,all_previous_count_ل,next_count_ل,all_after_count_ل,current_ratio_ل,previous_ratio_ل,all_previous_ratio_ل,next_ratio_ل,all_after_ratio_ل,vs_previous_diff_ل,vs_all_previous_diff_ل,vs_next_diff_ل,vs_all_after_diff_ل,current_count_م,previous_count_م,all_previous_count_م,next_count_م,all_after_count_م,current_ratio_م,previous_ratio_م,all_previous_ratio_م,next_ratio_م,all_after_ratio_م,vs_previous_diff_م,vs_all_previous_diff_م,vs_next_diff_م,vs_all_after_diff_م,current_count_ن,previous_count_ن,all_previous_count_ن,next_count_ن,all_after_count_ن,current_ratio_ن,previous_ratio_ن,all_previous_ratio_ن,next_ratio_ن,all_after_ratio_ن,vs_previous_diff_ن,vs_all_previous_diff_ن,vs_next_diff_ن,vs_all_after_diff_ن,current_count_ه,previous_count_ه,all_previous_count_ه,next_count_ه,all_after_count_ه,current_ratio_ه,previous_ratio_ه,all_previous_ratio_ه,next_ratio_ه,all_after_ratio_ه,vs_previous_diff_ه,vs_all_previous_diff_ه,vs_next_diff_ه,vs_all_after_diff_ه,current_count_ي,previous_count_ي,all_previous_count_ي,next_count_ي,all_after_count_ي,current_ratio_ي,previous_ratio_ي,all_previous_ratio_ي,next_ratio_ي,all_after_ratio_ي,vs_previous_diff_ي,vs_all_previous_diff_ي,vs_next_diff_ي,vs_all_after_diff_ي
2,ا ل م,26723,124,124,15194,308300,3545,20,20,2006,39984,0.1326572615350073,0.16129032258064516,0.16129032258064516,0.13202579965775965,0.12969185857930587,-0.02863306104563787,-0.02863306104563787,0.0006314618772476355,0.0029654029557014128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3202,18,18,1893,34980,0.1198218762863451,0.14516129032258066,0.14516129032258066,0.12458865341582204,0.11346091469348038,-0.02533941403623556,-0.02533941403623556,-0.004766777129476943,0.006360961592864714,2193,12,12,1247,24544,0.08206413950529506,0.0967741935483871,0.0967741935483871,0.08207187047518757,0.07961076873175478,-0.01471005404309203,-0.01471005404309203,-7.730969892510986e-06,0.0024533707735402838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ا ل م,15194,26723,26847,16587,293106,2006,3545,3565,2263,37978,0.13202579965775965,0.1326572615350073,0.1327895109323202,0.13643214565623682,0.12957087197123224,-0.0006314618772476355,-0.0007637112745605412,-0.004406345998477168,0.002454927686527414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,3202,3220,1962,33087,0.12458865341582204,0.1198218762863451,0.11993891310016017,0.11828540423223007,0.11288407606804364,0.004766777129476943,0.004649740315661871,0.006303249183591972,0.011704577347778397,1247,2193,2205,1303,23297,0.08207187047518757,0.08206413950529506,0.0821320817968488,0.07855549526737807,0.07948319038163668,7.730969892510986e-06,-6.021132166122989e-05,0.003516375207809508,0.002588680093550899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ا ل م ص,14640,12965,84001,5462,236506,1958,1558,11103,651,30488,0.1337431693989071,0.12016968762051677,0.13217699789288223,0.11918711094837056,0.12891004879368811,0.013573481778390323,0.001566171506024866,0.014556058450536535,0.004833120605218982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,69,510,29,1467,0.006693989071038252,0.0053220208252988815,0.0060713562933774595,0.005309410472354449,0.006202802465899385,0.0013719682457393701,0.0006226327776607922,0.001384578598683803,0.0004911866051388663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,1448,9983,653,26689,0.10437158469945355,0.11168530659467799,0.118843823287818,0.11955327718784328,0.1128470313649548,-0.0073137218952244315,-0.014472238588364453,-0.015181692488389728,-0.008475446665501249,1162,1058,6852,455,18735,0.07937158469945355,0.08160431932124952,0.08157045749455363,0.08330281948004394,0.07921574928331628,-0.002232734621795976,-0.0021988727951000875,-0.00393123478059039,0.00015583541613727048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ا ل ر,7712,11276,115379,7951,212056,992,1421,15133,980,27424,0.12863070539419086,0.12601986520042568,0.1311590497404207,0.1232549364859766,0.12932432942241673,0.0026108401937651737,-0.0025283443462298383,0.005375768908214257,-0.0006936240282258699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,412,3889,324,8262,0.03319502074688797,0.03653777935438099,0.03370630704027596,0.0407495912463841,0.03896140642094541,-0.0033427586074930224,-0.0005112862933879941,-0.0075545704994961355,-0.005766385674057441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,1347,13511,794,23776,0.11838692946058091,0.11945725434551259,0.11710103225023617,0.09986165262231166,0.1121213264420719,-0.001070324884931681,0.0012858972103447358,0.018525276838269253,0.006265603018509008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ا ل ر,7951,7712,123091,7422,204105,980,992,16125,937,26444,0.1232549364859766,0.12863070539419086,0.13100064180159393,0.12624629479924548,0.12956076529237404,-0.005375768908214257,-0.0077457053156173294,-0.0029913583132688826,-0.006305828806397434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,256,4145,256,7938,0.0407495912463841,0.03319502074688797,0.03367427350496787,0.034492050660199405,0.038891746894980525,0.0075545704994961355,0.007075317741416232,0.006257540586184697,0.0018578443514035772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,913,14424,810,22982,0.09986165262231166,0.11838692946058091,0.11718159735480255,0.10913500404203719,0.11259890742509983,-0.018525276838269253,-0.01731994473249089,-0.009273351419725531,-0.012737254802788173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ا ل ر,7422,7951,131042,3621,196683,937,980,17105,470,25507,0.12624629479924548,0.1232549364859766,0.13053066955632545,0.12979839823253245,0.1296858396506053,0.0029913583132688826,-0.004284374757079962,-0.0035521034332869628,-0.003439544851359805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,324,4469,136,7682,0.034492050660199405,0.0407495912463841,0.034103569847835045,0.03755868544600939,0.03905777316799113,-0.006257540586184697,0.0003884808123643599,-0.003066634785809985,-0.0045657225077917266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,794,15218,479,22172,0.10913500404203719,0.09986165262231166,0.11613070618580303,0.13228389947528307,0.11272962076030973,0.009273351419725531,-0.006995702143765839,-0.023148895433245886,-0.0035946167182725475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ا ل م ر,3621,7422,138464,3595,193062,470,937,18042,455,25037,0.12979839823253245,0.12624629479924548,0.1303010168708112,0.12656467315716272,0.1296837285431623,0.0035521034332869628,-0.0005026186382787456,0.003233725075369731,0.00011466968937015598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,256,4725,159,7546,0.03755868544600939,0.034492050660199405,0.03412439334411833,0.04422809457579972,0.039085889506997755,0.003066634785809985,0.0034342921018910635,-0.006669409129790332,-0.0015272040609883644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,810,16028,450,21693,0.13228389947528307,0.10913500404203719,0.11575571989831292,0.12517385257301808,0.11236286788700003,0.023148895433245886,0.016528179576970156,0.007110046902264994,0.01992103158828304,258,488,11271,303,15220,0.07125103562551781,0.06575047157100512,0.08140021955165241,0.08428372739916551,0.07883477846494909,0.0055005640545126855,-0.010149183926134606,-0.0130326917736477,-0.007583742839431279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ا ل ر,3595,3621,142085,2893,189467,455,470,18512,374,24582,0.12656467315716272,0.12979839823253245,0.1302882077629588,0.12927756653992395,0.12974291037489377,-0.003233725075369731,-0.0037235346057960805,-0.0027128933827612334,-0.003178237217731056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,136,4861,95,7387,0.04422809457579972,0.03755868544600939,0.034211915402751876,0.032837884548911164,0.03898831986572859,0.006669409129790332,0.010016179173047847,0.011390210026888559,0.0052397747100711295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,479,16507,321,21243,0.12517385257301808,0.13228389947528307,0.11617693634092269,0.11095748358105773,0.11211978867032253,-0.007110046902264994,0.008996916232095392,0.014216368991960354,0.013054063902695548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ا ل ر,2893,3595,145680,7946,186574,374,455,18967,958,24208,0.12927756653992395,0.12656467315716272,0.13019632070291048,0.12056380568839668,0.129750125955385,0.0027128933827612334,-0.0009187541629865348,0.008713760851527266,-0.00047255941546103797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,159,5020,287,7292,0.032837884548911164,0.04422809457579972,0.034459088412959915,0.036118801912912155,0.03908368797367264,-0.011390210026888559,-0.0016212038640487508,-0.0032809173640009903,-0.006245803424761477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,450,16957,986,20922,0.11095748358105773,0.12517385257301808,0.11639895661724327,0.12408759124087591,0.11213781127059505,-0.014216368991960354,-0.005441473036185543,-0.013130107659818188,-0.001180327689537325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ك ه ي ع ص,3979,6621,169865,5454,161303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,45,1029,35,1019,0.006785624528776075,0.006796556411418215,0.006057751744032025,0.006417308397506418,0.006317303459948048,-1.0931882642140414e-05,0.0007278727847440493,0.0003683161312696571,0.00046832106882802645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,206,4742,172,4547,0.029655692385021363,0.031113124905603383,0.027916286462779265,0.031536486982031535,0.028189184330111652,-0.00145743252058202,0.001739405922242098,-0.001880794597010172,0.0014665080549097105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,173,5452,180,4908,0.03468208092485549,0.026128983537230026,0.03209607629588202,0.033003300330033,0.030427208421418078,0.008553097387625462,0.0025860046289734664,0.0016787805948224876,0.00425487250343741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,314,7621,215,7081,0.037446594621764265,0.0474248602930071,0.04486503988461425,0.03942060872753942,0.04389874955828472,-0.009978265671242832,-0.0074184452628499875,-0.0019740141057751556,-0.006452154936520453,313,395,10963,362,10698,0.07866298064840412,0.05965866183355988,0.06453948723986695,0.06637330399706637,0.06632238706037706,0.019004318814844233,0.014123493408537163,0.012289676651337747,0.012340593588027055
