surah,window_start,window_end,window_size,total_letters_in_window,count_ا,count_ر,count_ص,count_ل,count_م
2,1,10,10,415,44,0,0,47,48
2,2,11,10,455,50,0,0,52,50
2,3,12,10,455,50,0,0,51,52
2,4,13,10,486,58,0,0,57,57
2,5,14,10,507,68,0,0,57,59
2,6,15,10,507,69,0,0,54,60
2,7,16,10,517,76,0,0,56,58
2,8,17,10,534,82,0,0,58,59
2,9,18,10,506,76,0,0,53,55
2,10,19,10,544,80,0,0,57,59
2,11,20,10,597,86,0,0,65,62
2,12,21,10,607,87,0,0,66,64
2,13,22,10,678,101,0,0,76,71
2,14,23,10,678,96,0,0,71,69
2,15,24,10,672,95,0,0,75,63
2,16,25,10,788,119,0,0,85,71
2,17,26,10,890,133,0,0,95,79
2,18,27,10,901,131,0,0,95,76
2,19,28,10,943,134,0,0,97,81
2,20,29,10,927,133,0,0,97,80
2,21,30,10,935,133,0,0,99,77
2,22,31,10,952,134,0,0,100,80
2,23,32,10,901,127,0,0,95,75
2,24,33,10,925,130,0,0,100,84
2,25,34,10,921,127,0,0,98,86
2,26,35,10,851,115,0,0,93,78
2,27,36,10,780,103,0,0,84,74
2,28,37,10,741,100,0,0,80,73
2,29,38,10,749,105,0,0,81,72
2,30,39,10,730,105,0,0,77,66
2,31,40,10,686,100,0,0,65,63
2,32,41,10,696,105,0,0,64,62
2,33,42,10,689,102,0,0,62,60
2,34,43,10,628,100,0,0,56,45
2,35,44,10,621,96,0,0,54,45
2,36,45,10,589,91,0,0,54,40
2,37,46,10,539,81,0,0,50,36
2,38,47,10,553,83,0,0,52,37
2,39,48,10,553,85,0,0,54,33
2,40,49,10,586,81,0,0,54,42
2,41,50,10,567,77,0,0,53,41
2,42,51,10,540,68,0,0,51,40
2,43,52,10,528,62,0,0,47,41
2,44,53,10,524,57,0,0,47,41
2,45,54,10,590,65,0,0,53,53
2,46,55,10,602,60,0,0,52,58
2,47,56,10,594,58,0,0,51,60
2,48,57,10,628,65,0,0,57,67
2,49,58,10,655,70,0,0,60,68
2,50,59,10,647,77,0,0,68,64
2,51,60,10,718,90,0,0,76,69
2,52,61,10,927,121,0,0,98,79
2,53,62,10,1005,136,0,0,109,85
2,54,63,10,1038,141,0,0,108,90
2,55,64,10,971,131,0,0,106,82
2,56,65,10,965,134,0,0,106,82
2,57,66,10,980,141,0,0,110,80
2,58,67,10,973,138,0,0,107,73
2,59,68,10,959,137,0,0,107,71
2,60,69,10,954,138,0,0,103,66
2,61,70,10,895,133,0,0,101,60
