surah,surah_name,inclusive_ratio,exclusive_ratio,total_letters,special_letters_count,other_letters_count,muqattaat_letters
2,Al-Baqarah,0.3344685628742515,0.502558623404375,26720,8937,17783,الم
3,Al-Imran,0.3385557237838194,0.511843152866242,15191,5143,10048,الم
7,Al-A'raf,0.3239956272205521,0.4792803719425915,14636,4742,9894,المص
10,Yunus,0.2799325463743676,0.38875878220140514,7709,2158,5551,الر
11,Hud,0.26358832410669353,0.35793610114471214,7948,2095,5853,الر
12,Yusuf,0.2695781102574471,0.3690717844620779,7419,2000,5419,الر
13,Ar-Ra'd,0.3701962952723251,0.5877963125548727,3617,1339,2278,المر
14,Ibrahim,0.29537861915367486,0.41920189648360334,3592,1061,2531,الر
15,Al-Hijr,0.27231833910034603,0.37422729434141705,2890,787,2103,الر
19,Maryam,0.18621036738802216,0.22881880024737167,3974,740,3234,كهيعص
20,Ta-Ha,0.04438738077769626,0.04644913627639156,5452,242,5210,طه
26,Ash-Shu'ara,0.10724381625441697,0.12012665743122897,5660,607,5053,طسم
27,An-Naml,0.024778030146603344,0.025407579928011858,4843,120,4723,طس
28,Al-Qasas,0.09603861517976033,0.10624194439329773,6008,577,5431,طسم
29,Al-Ankabut,0.3410180324126912,0.517492206442674,4381,1494,2887,الم
30,Ar-Rum,0.31780744106787845,0.4658617818484596,3521,1119,2402,الم
31,Luqman,0.33907524932003624,0.5130315500685871,2206,748,1458,الم
32,As-Sajdah,0.32341772151898734,0.47801683816651075,1580,511,1069,الم
36,Ya-Sin,0.08446601941747572,0.09225874867444327,3090,261,2829,يس
38,Sad,0.009348807221147646,0.009437032216075496,3102,29,3073,ص
40,Ghafir,0.08483091787439613,0.09269425675675676,5175,439,4736,حم
41,Fussilat,0.09365825014679977,0.10333657272432782,3406,319,3087,حم
42,Ash-Shura,0.15483152325257588,0.18319604612850082,3591,556,3035,حمعسق
43,Az-Zukhruf,0.09969788519637462,0.11073825503355705,3641,363,3278,حم
44,Ad-Dukhan,0.107981220657277,0.12105263157894737,1491,161,1330,حم
45,Al-Jathiyah,0.10721062618595825,0.12008501594048884,2108,226,1882,حم
46,Al-Ahqaf,0.09492028179458657,0.1048750512085211,2697,256,2441,حم
50,Qaf,0.03745072273324573,0.03890784982935153,1522,57,1465,ق
68,Al-Qalam,0.10108024691358025,0.11244635193133047,1296,131,1165,ن
